sample_key,output_file,alignment_mode,text_audio_correspondence,audio_speech_valid,words,audio_windows,video_frames,face_frames,valid_word_times,audio_word_count,vision_word_count,roberta_tokens,pcm_peak,all_checks_pass
-HeZS2-Prhc$_$2,features/-HeZS2-Prhc___2.npz,UNCERTAIN_REVIEW,not_asserted,-1,16,811,246,0,0,0,0,19,0.30761247873306274,True
-HwX2H8Z4hY$_$2,features/-HwX2H8Z4hY___2.npz,UNCERTAIN_REVIEW,not_asserted,-1,7,387,119,25,0,0,0,14,0.9236170053482056,True
-HwX2H8Z4hY$_$5,features/-HwX2H8Z4hY___5.npz,UNCERTAIN_REVIEW,not_asserted,-1,9,550,168,40,0,0,0,12,0.7359235286712646,True
-HwX2H8Z4hY$_$6,features/-HwX2H8Z4hY___6.npz,UNCERTAIN_REVIEW,not_asserted,-1,7,321,99,43,0,0,0,11,1.2946727275848389,True
-HwX2H8Z4hY$_$9,features/-HwX2H8Z4hY___9.npz,UNCERTAIN_REVIEW,not_asserted,-1,22,759,232,0,0,0,0,25,0.25700247287750244,True
-I_e4mIh0yE$_$1,features/-I_e4mIh0yE___1.npz,UNCERTAIN_REVIEW,not_asserted,-1,18,740,225,225,0,0,0,22,0.7843006253242493,True
-I_e4mIh0yE$_$3,features/-I_e4mIh0yE___3.npz,UNCERTAIN_REVIEW,not_asserted,-1,22,895,271,271,0,0,0,31,0.6953149437904358,True
-MeTTeMJBNc$_$0,features/-MeTTeMJBNc___0.npz,UNCERTAIN_REVIEW,not_asserted,-1,21,917,279,0,0,0,0,27,0.48746412992477417,True
-MeTTeMJBNc$_$13,features/-MeTTeMJBNc___13.npz,UNCERTAIN_REVIEW,not_asserted,-1,14,521,159,0,0,0,0,18,0.4715039134025574,True
-MeTTeMJBNc$_$7,features/-MeTTeMJBNc___7.npz,UNCERTAIN_REVIEW,not_asserted,-1,31,1037,314,0,0,0,0,35,0.4297659397125244,True
-NFrJFQijFE$_$1,features/-NFrJFQijFE___1.npz,UNCERTAIN_REVIEW,not_asserted,-1,16,561,142,0,0,0,0,19,0.1557629108428955,True
-NFrJFQijFE$_$2,features/-NFrJFQijFE___2.npz,UNCERTAIN_REVIEW,not_asserted,-1,18,665,169,0,0,0,0,20,1.1719050407409668,True
-RfYyzHpjk4$_$11,features/-RfYyzHpjk4___11.npz,UNCERTAIN_REVIEW,not_asserted,-1,17,503,154,154,0,0,0,21,0.19172927737236023,True
-RfYyzHpjk4$_$2,features/-RfYyzHpjk4___2.npz,UNCERTAIN_REVIEW,not_asserted,-1,25,535,164,162,0,0,0,30,0.32247382402420044,True
-RfYyzHpjk4$_$8,features/-RfYyzHpjk4___8.npz,UNCERTAIN_REVIEW,not_asserted,-1,17,449,137,137,0,0,0,22,0.19665807485580444,True
-THoVjtIkeU$_$12,features/-THoVjtIkeU___12.npz,UNCERTAIN_REVIEW,not_asserted,-1,39,1476,445,445,0,0,0,44,0.5690598487854004,True
-THoVjtIkeU$_$2,features/-THoVjtIkeU___2.npz,UNCERTAIN_REVIEW,not_asserted,-1,10,419,128,128,0,0,0,13,0.4699326157569885,True
-THoVjtIkeU$_$6,features/-THoVjtIkeU___6.npz,UNCERTAIN_REVIEW,not_asserted,-1,30,794,241,240,0,0,0,34,0.5886472463607788,True
-UUCSKoHeMA$_$0,features/-UUCSKoHeMA___0.npz,UNCERTAIN_REVIEW,not_asserted,-1,18,769,234,0,0,0,0,25,0.3337041139602661,True
-UacrmKiTn4$_$10,features/-UacrmKiTn4___10.npz,UNCERTAIN_REVIEW,not_asserted,-1,18,720,218,0,0,0,0,23,0.23898254334926605,True
-UacrmKiTn4$_$4,features/-UacrmKiTn4___4.npz,UNCERTAIN_REVIEW,not_asserted,-1,14,464,142,0,0,0,0,17,0.3695080280303955,True
-UuX1xuaiiE$_$0,features/-UuX1xuaiiE___0.npz,TRI_MODAL_WORD_VALID,confirmed_match,1,9,353,109,54,9,9,6,13,0.4753493368625641,True
-UuX1xuaiiE$_$1,features/-UuX1xuaiiE___1.npz,UNCERTAIN_REVIEW,not_asserted,-1,27,1022,309,14,0,0,0,34,0.9123340845108032,True
-UuX1xuaiiE$_$3,features/-UuX1xuaiiE___3.npz,UNCERTAIN_REVIEW,not_asserted,-1,9,399,123,122,0,0,0,11,0.5342822074890137,True
-UuX1xuaiiE$_$6,features/-UuX1xuaiiE___6.npz,UNCERTAIN_REVIEW,not_asserted,-1,22,790,240,239,0,0,0,25,0.6067687273025513,True
-a55Q6RWvTA$_$3,features/-a55Q6RWvTA___3.npz,UNCERTAIN_REVIEW,not_asserted,-1,65,2204,664,664,0,0,0,80,0.7863348722457886,True
-aNfi7CP8vM$_$7,features/-aNfi7CP8vM___7.npz,TRI_MODAL_WORD_VALID,confirmed_match,1,18,849,257,257,18,18,18,24,0.5365663766860962,True
-aqamKhZ1Ec$_$0,features/-aqamKhZ1Ec___0.npz,UNCERTAIN_REVIEW,not_asserted,-1,14,1085,329,329,0,0,0,18,0.1871657818555832,True
-dxfTGcXJoc$_$0,features/-dxfTGcXJoc___0.npz,UNCERTAIN_REVIEW,not_asserted,-1,40,2037,615,479,0,0,0,58,0.6127868890762329,True
-dxfTGcXJoc$_$1,features/-dxfTGcXJoc___1.npz,UNCERTAIN_REVIEW,not_asserted,-1,36,1597,482,482,0,0,0,46,0.9194031357765198,True
-dxfTGcXJoc$_$2,features/-dxfTGcXJoc___2.npz,UNCERTAIN_REVIEW,not_asserted,-1,34,1659,500,500,0,0,0,42,0.9318382740020752,True
-dxfTGcXJoc$_$6,features/-dxfTGcXJoc___6.npz,UNCERTAIN_REVIEW,not_asserted,-1,27,1258,381,380,0,0,0,37,0.9218583106994629,True
-egA8-b7-3M$_$1,features/-egA8-b7-3M___1.npz,UNCERTAIN_REVIEW,not_asserted,-1,20,1011,306,306,0,0,0,25,0.26530495285987854,True
-egA8-b7-3M$_$13,features/-egA8-b7-3M___13.npz,UNCERTAIN_REVIEW,not_asserted,-1,11,398,123,123,0,0,0,16,0.24927467107772827,True
-egA8-b7-3M$_$16,features/-egA8-b7-3M___16.npz,UNCERTAIN_REVIEW,not_asserted,-1,11,544,166,166,0,0,0,15,0.2700008451938629,True
-egA8-b7-3M$_$17,features/-egA8-b7-3M___17.npz,UNCERTAIN_REVIEW,not_asserted,-1,16,705,215,215,0,0,0,21,0.24504904448986053,True
-egA8-b7-3M$_$18,features/-egA8-b7-3M___18.npz,UNCERTAIN_REVIEW,not_asserted,-1,22,822,250,250,0,0,0,27,0.2563006281852722,True
-egA8-b7-3M$_$20,features/-egA8-b7-3M___20.npz,UNCERTAIN_REVIEW,not_asserted,-1,20,643,196,196,0,0,0,25,0.26146870851516724,True
-egA8-b7-3M$_$26,features/-egA8-b7-3M___26.npz,UNCERTAIN_REVIEW,not_asserted,-1,15,588,179,179,0,0,0,19,0.24350781738758087,True
-egA8-b7-3M$_$6,features/-egA8-b7-3M___6.npz,UNCERTAIN_REVIEW,not_asserted,-1,12,614,187,187,0,0,0,15,0.2607860863208771,True
-egA8-b7-3M$_$9,features/-egA8-b7-3M___9.npz,TRI_MODAL_WORD_VALID,confirmed_match,1,10,489,150,150,10,10,10,15,0.2567926049232483,True
-hnBHBN8p5A$_$6,features/-hnBHBN8p5A___6.npz,UNCERTAIN_REVIEW,not_asserted,-1,13,629,153,36,0,0,0,16,0.9799197912216187,True
-hnBHBN8p5A$_$7,features/-hnBHBN8p5A___7.npz,UNCERTAIN_REVIEW,not_asserted,-1,13,726,176,0,0,0,0,20,0.7873237133026123,True
-iRBcNs9oI8$_$3,features/-iRBcNs9oI8___3.npz,UNCERTAIN_REVIEW,not_asserted,-1,8,549,167,0,0,0,0,11,1.018396019935608,True
-iRBcNs9oI8$_$6,features/-iRBcNs9oI8___6.npz,UNCERTAIN_REVIEW,not_asserted,-1,5,278,85,0,0,0,0,7,0.7747135162353516,True
-iRBcNs9oI8$_$7,features/-iRBcNs9oI8___7.npz,AV_VALID_TEXT_UNALIGNED,confirmed_mismatch,1,9,396,120,0,0,0,0,16,0.9167193174362183,True
-iRBcNs9oI8$_$8,features/-iRBcNs9oI8___8.npz,UNCERTAIN_REVIEW,not_asserted,-1,21,798,241,0,0,0,0,27,1.1039882898330688,True
-iRBcNs9oI8$_$9,features/-iRBcNs9oI8___9.npz,UNCERTAIN_REVIEW,not_asserted,-1,5,333,102,0,0,0,0,7,1.3061777353286743,True
-lzEya4AM_4$_$5,features/-lzEya4AM_4___5.npz,UNCERTAIN_REVIEW,not_asserted,-1,19,752,229,0,0,0,0,23,0.8165898323059082,True
-lzEya4AM_4$_$6,features/-lzEya4AM_4___6.npz,UNCERTAIN_REVIEW,not_asserted,-1,43,1470,443,0,0,0,0,49,0.7601232528686523,True
-mJ2ud6oKI8$_$1,features/-mJ2ud6oKI8___1.npz,TRI_MODAL_WITH_AUDIO_CONTENT_INVALID,no_speech,0,13,601,182,0,0,0,0,15,0.0,True
-mJ2ud6oKI8$_$2,features/-mJ2ud6oKI8___2.npz,TRI_MODAL_WITH_AUDIO_CONTENT_INVALID,no_speech,0,11,566,171,0,0,0,0,17,0.0,True
-mJ2ud6oKI8$_$6,features/-mJ2ud6oKI8___6.npz,AV_VALID_TEXT_UNALIGNED,confirmed_mismatch,1,5,218,67,67,0,0,0,7,0.48196977376937866,True
-mJ2ud6oKI8$_$8,features/-mJ2ud6oKI8___8.npz,AV_VALID_TEXT_UNALIGNED,confirmed_mismatch,1,11,413,125,125,0,0,0,13,0.5928847193717957,True
-mJ2ud6oKI8$_$9,features/-mJ2ud6oKI8___9.npz,AV_VALID_TEXT_UNALIGNED,confirmed_mismatch,1,22,686,208,207,0,0,0,29,0.5233227014541626,True
-mqbVkbCndg$_$0,features/-mqbVkbCndg___0.npz,UNCERTAIN_REVIEW,not_asserted,-1,12,634,194,194,0,0,0,19,1.294559121131897,True
-qDkUB0GgYY$_$6,features/-qDkUB0GgYY___6.npz,UNCERTAIN_REVIEW,not_asserted,-1,16,457,140,0,0,0,0,20,0.26369351148605347,True
-ri04Z7vwnc$_$0,features/-ri04Z7vwnc___0.npz,UNCERTAIN_REVIEW,not_asserted,-1,8,272,67,0,0,0,0,10,1.0767295360565186,True
-ri04Z7vwnc$_$2,features/-ri04Z7vwnc___2.npz,UNCERTAIN_REVIEW,not_asserted,-1,16,587,143,50,0,0,0,24,1.1896147727966309,True
-ri04Z7vwnc$_$5,features/-ri04Z7vwnc___5.npz,UNCERTAIN_REVIEW,not_asserted,-1,8,339,83,83,0,0,0,12,0.3576313257217407,True
-s9qJ7ATP7w$_$0,features/-s9qJ7ATP7w___0.npz,UNCERTAIN_REVIEW,not_asserted,-1,24,667,204,204,0,0,0,30,1.339386224746704,True
-s9qJ7ATP7w$_$1,features/-s9qJ7ATP7w___1.npz,UNCERTAIN_REVIEW,not_asserted,-1,11,460,140,140,0,0,0,14,1.338340401649475,True
-s9qJ7ATP7w$_$4,features/-s9qJ7ATP7w___4.npz,UNCERTAIN_REVIEW,not_asserted,-1,9,420,129,85,0,0,0,12,1.329630732536316,True
-s9qJ7ATP7w$_$5,features/-s9qJ7ATP7w___5.npz,UNCERTAIN_REVIEW,not_asserted,-1,19,835,253,253,0,0,0,22,1.1613194942474365,True
-s9qJ7ATP7w$_$6,features/-s9qJ7ATP7w___6.npz,TRI_MODAL_WORD_VALID,confirmed_match,1,5,227,71,59,5,5,5,7,1.3086721897125244,True
-s9qJ7ATP7w$_$7,features/-s9qJ7ATP7w___7.npz,UNCERTAIN_REVIEW,not_asserted,-1,28,679,207,118,0,0,0,39,1.312117099761963,True
-s9qJ7ATP7w$_$8,features/-s9qJ7ATP7w___8.npz,UNCERTAIN_REVIEW,not_asserted,-1,12,314,97,95,0,0,0,19,1.331815242767334,True
-t217m2on-s$_$2,features/-t217m2on-s___2.npz,UNCERTAIN_REVIEW,not_asserted,-1,12,559,170,170,0,0,0,17,0.40912961959838867,True
-t217m2on-s$_$7,features/-t217m2on-s___7.npz,UNCERTAIN_REVIEW,not_asserted,-1,45,1698,512,512,0,0,0,53,0.40665435791015625,True
-tANM6ETl_M$_$3,features/-tANM6ETl_M___3.npz,UNCERTAIN_REVIEW,not_asserted,-1,22,656,200,198,0,0,0,29,0.708234965801239,True
-tPCytz4rww$_$10,features/-tPCytz4rww___10.npz,UNCERTAIN_REVIEW,not_asserted,-1,12,463,142,142,0,0,0,16,0.48125147819519043,True
-tPCytz4rww$_$11,features/-tPCytz4rww___11.npz,UNCERTAIN_REVIEW,not_asserted,-1,17,533,164,164,0,0,0,22,0.7352471351623535,True
-tPCytz4rww$_$12,features/-tPCytz4rww___12.npz,UNCERTAIN_REVIEW,not_asserted,-1,26,1169,353,353,0,0,0,31,0.5972799062728882,True
-tPCytz4rww$_$16,features/-tPCytz4rww___16.npz,UNCERTAIN_REVIEW,not_asserted,-1,16,709,216,216,0,0,0,19,0.6843681931495667,True
-tPCytz4rww$_$18,features/-tPCytz4rww___18.npz,UNCERTAIN_REVIEW,not_asserted,-1,16,652,199,199,0,0,0,21,0.7236518263816833,True
-uywlfIYOS8$_$4,features/-uywlfIYOS8___4.npz,UNCERTAIN_REVIEW,not_asserted,-1,18,584,179,179,0,0,0,23,0.38113534450531006,True
-vxjVxOeScU$_$4,features/-vxjVxOeScU___4.npz,UNCERTAIN_REVIEW,not_asserted,-1,21,899,272,272,0,0,0,27,0.5209630727767944,True
-wMB_hJL-3o$_$7,features/-wMB_hJL-3o___7.npz,UNCERTAIN_REVIEW,not_asserted,-1,22,593,181,176,0,0,0,25,0.37651991844177246,True
-wny0OAz3g8$_$0,features/-wny0OAz3g8___0.npz,UNCERTAIN_REVIEW,not_asserted,-1,9,323,100,83,0,0,0,14,1.1865078210830688,True
-wny0OAz3g8$_$1,features/-wny0OAz3g8___1.npz,UNCERTAIN_REVIEW,not_asserted,-1,22,673,205,131,0,0,0,32,1.1937947273254395,True
-wny0OAz3g8$_$2,features/-wny0OAz3g8___2.npz,UNCERTAIN_REVIEW,not_asserted,-1,23,648,197,164,0,0,0,31,1.2553799152374268,True
-wny0OAz3g8$_$3,features/-wny0OAz3g8___3.npz,UNCERTAIN_REVIEW,not_asserted,-1,20,605,184,123,0,0,0,22,1.2370434999465942,True
-wny0OAz3g8$_$5,features/-wny0OAz3g8___5.npz,UNCERTAIN_REVIEW,not_asserted,-1,20,670,204,38,0,0,0,31,1.2168076038360596,True
-wny0OAz3g8$_$7,features/-wny0OAz3g8___7.npz,UNCERTAIN_REVIEW,not_asserted,-1,29,787,240,228,0,0,0,33,1.077629566192627,True
-wny0OAz3g8$_$9,features/-wny0OAz3g8___9.npz,UNCERTAIN_REVIEW,not_asserted,-1,20,600,183,173,0,0,0,24,0.8830974698066711,True
-yRb-Jum7EQ$_$1,features/-yRb-Jum7EQ___1.npz,UNCERTAIN_REVIEW,not_asserted,-1,49,2906,875,848,0,0,0,57,0.23467275500297546,True
-yRb-Jum7EQ$_$5,features/-yRb-Jum7EQ___5.npz,UNCERTAIN_REVIEW,not_asserted,-1,25,1300,394,394,0,0,0,34,0.31333595514297485,True
-yRb-Jum7EQ$_$6,features/-yRb-Jum7EQ___6.npz,AV_VALID_TEXT_UNALIGNED,confirmed_mismatch,1,19,1120,336,336,0,0,0,25,0.20268335938453674,True
